vendor_id,category,category_name,lookup_key,lookup_value,metadata,is_active
1,billing_interval,電費寄送區間,台北市北投區自強街37號,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""16066884108(租客自繳)""}",t
1,billing_interval,電費寄送區間,台北市大同區民族西路338號13樓之6,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""00207992986""}",t
1,billing_interval,電費寄送區間,台北市大同區民族西路338號4樓之7,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""00207994409""}",t
1,billing_interval,電費寄送區間,台北市大同區民族西路338號4樓之8,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""00207996401""}",t
1,billing_interval,電費寄送區間,台北市大同區民族西路338號5樓之8,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""00207996504""}",t
1,billing_interval,電費寄送區間,台北市大同區民生西路326號一樓,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""00131227102""}",t
1,billing_interval,電費寄送區間,台北市大同區雙連街1巷15號四樓,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""00177770404""}",t
1,billing_interval,電費寄送區間,台北市松山區復興南路一段47巷9弄9號,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""00541436105""}",t
1,billing_interval,電費寄送區間,台北市萬華區和平西路3段298巷5號2樓之5,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""00675825202""}",t
1,billing_interval,電費寄送區間,台北市萬華區武成街80巷29號,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""00704700204""}",t
1,billing_interval,電費寄送區間,台北市萬華區環河南路一段71號10樓之26,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""00092236928""}",t
1,billing_interval,電費寄送區間,台北市萬華區西園路二段372巷23弄10號2樓,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""00688605203""}",t
1,billing_interval,電費寄送區間,新北市三重區信義西路25號,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""05040755104""}",t
1,billing_interval,電費寄送區間,新北市三重區長元街98巷33號之1一樓,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""05045668109""}",t
1,billing_interval,電費寄送區間,新北市中和區景平路666號1樓,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""01441125107""}",t
1,billing_interval,電費寄送區間,新北市中和區景平路666號2樓,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""01441125209""}",t
1,billing_interval,電費寄送區間,新北市新莊區新北大道七段312號10樓,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""05463958640""}",t
1,billing_interval,電費寄送區間,新北市板橋區民生路三段319號24樓之2,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""01098423202""}",t
1,billing_interval,電費寄送區間,新北市蘆洲區中央路20巷11號,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""05210366160""}",t
1,billing_interval,電費寄送區間,新北市蘆洲區中央路20巷11號1樓,自繳,"{""note"": ""此物件採用自行繳費方式，請直接向台電繳納電費。"", ""electric_number"": ""05210366104""}",t
1,billing_interval,電費寄送區間,台北市中山區中山北路一段105巷23號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00484392202""}",t
1,billing_interval,電費寄送區間,台北市中山區中山北路一段135巷37號之1三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00484143302""}",t
1,billing_interval,電費寄送區間,台北市中山區中山北路一段135巷37號之1二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00484143200""}",t
1,billing_interval,電費寄送區間,台北市中山區吉林路488號2樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00038780208""}",t
1,billing_interval,電費寄送區間,台北市中山區建國北路2段22號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00421683304""}",t
1,billing_interval,電費寄送區間,台北市中山區建國北路2段22號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00421683202""}",t
1,billing_interval,電費寄送區間,台北市中山區民權東路二段117號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00344616206""}",t
1,billing_interval,電費寄送區間,台北市中山區民生東路一段29號11樓11樓之1,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00296709945""}",t
1,billing_interval,電費寄送區間,台北市中山區遼寧街160號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00367702302""}",t
1,billing_interval,電費寄送區間,台北市中山區遼寧街160號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00367702200""}",t
1,billing_interval,電費寄送區間,台北市中山區遼寧街160號二樓部分,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00367702222""}",t
1,billing_interval,電費寄送區間,台北市中正區三元街184號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00762550307""}",t
1,billing_interval,電費寄送區間,台北市中正區中華路二段45號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00076102309""}",t
1,billing_interval,電費寄送區間,台北市中正區中華路二段45號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00076102207""}",t
1,billing_interval,電費寄送區間,台北市中正區中華路二段45號五樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00076102504""}",t
1,billing_interval,電費寄送區間,台北市中正區中華路二段45號四樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00076102401""}",t
1,billing_interval,電費寄送區間,台北市中正區中華路二段75巷6號5樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00076300504""}",t
1,billing_interval,電費寄送區間,台北市中正區汀洲路一段140巷44號,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00590164100""}",t
1,billing_interval,電費寄送區間,台北市中正區汀洲路一段140巷44號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00590164202""}",t
1,billing_interval,電費寄送區間,台北市中正區漢口街1段42號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00060642308""}",t
1,billing_interval,電費寄送區間,台北市中正區漢口街1段42號五樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00060642503""}",t
1,billing_interval,電費寄送區間,台北市中正區漢口街1段42號四樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00060642400""}",t
1,billing_interval,電費寄送區間,台北市中華路二段５３號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00076106303""}",t
1,billing_interval,電費寄送區間,台北市中華路二段５３號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00076106201""}",t
1,billing_interval,電費寄送區間,台北市中華路二段５３號四樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00076106405""}",t
1,billing_interval,電費寄送區間,台北市北投區中和街273號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""16725177203""}",t
1,billing_interval,電費寄送區間,台北市北投區自強街37號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""16066884200""}",t
1,billing_interval,電費寄送區間,台北市士林區中山北路六段768巷三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""16030591302""}",t
1,billing_interval,電費寄送區間,台北市士林區中山北路六段768巷四樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""16030591404""}",t
1,billing_interval,電費寄送區間,台北市士林區中山北路六段768號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""16030591200""}",t
1,billing_interval,電費寄送區間,台北市士林區士東路43號5樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""16030248500""}",t
1,billing_interval,電費寄送區間,台北市士林區天玉街15號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""16041009309""}",t
1,billing_interval,電費寄送區間,台北市士林區天玉街15號五樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""16041009504""}",t
1,billing_interval,電費寄送區間,台北市士林區天玉街15號公設,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""16041009003""}",t
1,billing_interval,電費寄送區間,台北市士林區天玉街15號六七樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""16041009606""}",t
1,billing_interval,電費寄送區間,台北市士林區天玉街15號四樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""16041009401""}",t
1,billing_interval,電費寄送區間,台北市士林區忠誠路2段140巷15弄17號,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""16031880100""}",t
1,billing_interval,電費寄送區間,台北市士林區福國路71號3樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""16052300306""}",t
1,billing_interval,電費寄送區間,台北市士林區福國路71號4樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""16052300408""}",t
1,billing_interval,電費寄送區間,台北市大同區平陽街46號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00017227203""}",t
1,billing_interval,電費寄送區間,台北市大同區延平北路2段210巷5號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00164768208""}",t
1,billing_interval,電費寄送區間,台北市大同區延平北路四段282巷11號2樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00219397207""}",t
1,billing_interval,電費寄送區間,台北市大同區民族西路338號5樓之7,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00207994502""}",t
1,billing_interval,電費寄送區間,台北市大同區民生西路326號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00131227306""}",t
1,billing_interval,電費寄送區間,台北市大同區民生西路326號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00131227204""}",t
1,billing_interval,電費寄送區間,台北市大同區民生西路326號五樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00131227501""}",t
1,billing_interval,電費寄送區間,台北市大同區民生西路326號四樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00131227408""}",t
1,billing_interval,電費寄送區間,台北市大同區民生西路45巷7弄16號,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00122865208""}",t
1,billing_interval,電費寄送區間,台北市大同區興城街51號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00176717304""}",t
